"Material	Plant	Version	MRP Area	W 24/2025	W 25/2025	W 26/2025	W 27/2025	W 28/2025	W 29/2025	W 30/2025	W 31/2025	W 32/2025	W 33/2025	W 34/2025	W 35/2025	W 36/2025	W 37/2025	W 38/2025	W 39/2025	W 40/2025	W 41/2025	W 42/2025	W 43/2025	W 44/2025	W 45/2025	W 46/2025	W 47/2025	W 48/2025	W 49/2025	W 50/2025	W 51/2025	W 52/2025	W 01/2026	W 02/2026	W 03/2026	W 04/2026	W 05/2026	W 06/2026	W 07/2026	W 08/2026	W 09/2026	W 10/2026	W 11/2026	W 12/2026	W 13/2026	W 14/2026	W 15/2026	W 16/2026	W 17/2026	W 18/2026	W 19/2026	W 20/2026	W 21/2026	W 22/2026	W 23/2026	W 24/2026	W 25/2026	W 26/2026	W 27/2026	W 28/2026	W 29/2026	W 30/2026	W 31/2026	W 32/2026	W 33/2026	W 34/2026	W 35/2026	W 36/2026	W 37/2026	W 38/2026	W 39/2026	W 40/2026	W 41/2026	W 42/2026	W 43/2026	W 44/2026	W 45/2026	W 46/2026	W 47/2026	W 48/2026	W 49/2026																																																				"
"1158445	FWX1	[00]	FWX1_MRP	263.000	0.000									0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000													0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000																																																																																								"
"1166348	FWX1	[00]	FWX1_MRP	275.000	247.000	236.000	178.000	144.000	115.000	0.000	129.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000																																																																																"
"1168109	FWX1	[00]	FWX1_MRP	3549.000	626.000	420.000	333.000	88.000	5.000	1.000	2.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	5.000	2.000	2.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000																																																																																									"
"1168111	FWX1	[00]	FWX1_MRP	603.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000											0.000																																																																													"
"1168684	FWX1	[00]	FWX1_MRP	458.000	3262.000	2450.000	384.000	152.000	276.000	1508.000	1806.000	1700.000	1026.000	972.000	0.000	114.000	116.000	110.000	102.000	26.000	28.000	20.000	950.000	1096.000	900.000	1046.000	872.000	172.000	58.000	46.000	34.000	36.000	20.000	18.000	20.000	26.000	12.000	16.000	10.000	8.000	26.000	26.000	26.000	22.000	28.000	10.000	8.000	6.000	16.000	14.000	10.000	10.000	4.000	2.000	6.000	4.000	4.000	10.000	2.000	2.000	0.000	0.000	14.000	12.000	10.000	4.000	70.000	54.000	68.000	44.000	28.000	4.000	2.000	4.000	0.000																																																										"
"1168685	FWX1	[00]	FWX1_MRP	327.000	1631.000	1225.000	192.000	76.000	138.000	754.000	903.000	850.000	513.000	486.000	0.000	57.000	58.000	55.000	51.000	13.000	14.000	10.000	475.000	548.000	450.000	523.000	436.000	86.000	29.000	23.000	17.000	18.000	10.000	9.000	10.000	13.000	6.000	8.000	5.000	4.000	13.000	13.000	13.000	11.000	14.000	5.000	4.000	3.000	8.000	7.000	5.000	5.000	2.000	1.000	3.000	2.000	2.000	5.000	1.000	1.000	0.000	0.000	7.000	6.000	5.000	2.000	35.000	27.000	34.000	22.000	14.000	2.000	1.000	2.000	0.000																																																										"
"1170489	FWX1	[00]	FWX1_MRP	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000																																																																																																										"
"1176298	FWX1	[00]	FWX1_MRP		99.000	124.000	138.000	132.000	123.000	122.000	89.000	88.000	83.000	101.000	146.000	244.000	238.000	233.000	205.000	142.000	122.000	118.000	116.000	102.000	95.000	93.000	85.000	59.000	63.000	57.000	58.000	60.000	59.000	60.000	67.000	75.000	85.000	83.000	73.000	74.000	62.000	50.000	34.000	36.000	41.000	48.000	39.000	48.000	37.000	44.000	31.000	29.000	33.000	35.000	49.000	37.000	46.000	39.000	45.000	32.000	36.000	33.000	32.000	44.000	33.000	41.000	40.000	52.000	37.000	46.000	39.000	42.000	30.000	29.000	32.000	35.000	49.000	36.000	41.000	27.000	2.000																																																				"
"1176304	FWX1	[00]	FWX1_MRP		5522.000	896.000	2242.000	2189.000	1631.000	1624.000	527.000	977.000	1073.000	468.000	463.000	736.000	1372.000	1350.000	1344.000	1317.000	1262.000	1245.000	1227.000	552.000	591.000	566.000	565.000	559.000	1803.000	2679.000	2741.000	2942.000	3235.000	3406.000	3493.000	3059.000	2834.000	2049.000	2043.000	1808.000	1506.000	327.000	34.000	35.000	34.000	37.000	32.000	34.000	33.000	30.000	30.000	23.000	31.000	29.000	39.000	32.000	36.000	40.000	39.000	32.000	20.000	29.000	29.000	36.000	31.000	34.000	36.000	39.000	35.000	34.000	33.000	30.000	29.000	21.000	30.000	30.000	39.000	32.000	22.000	18.000	3.000																																																				"
"1178139	FWX1	[00]	FWX1_MRP		1886.000	350.000	310.000	425.000	419.000	72.000	32.000	28.000	320.000	302.000	333.000	842.000	961.000	1024.000	962.000	782.000	661.000	552.000	455.000	556.000	407.000	404.000	578.000	775.000	761.000	790.000	730.000	723.000	1020.000	1012.000	1004.000	874.000	893.000	707.000	706.000	581.000	474.000	211.000	118.000	109.000	118.000	139.000	115.000	106.000	117.000	130.000	100.000	78.000	91.000	104.000	138.000	117.000	109.000	118.000	131.000	98.000	81.000	91.000	103.000	136.000	113.000	108.000	120.000	147.000	121.000	111.000	114.000	124.000	97.000	80.000	89.000	105.000	138.000	116.000	89.000	67.000	10.000																																																				"
"1178143	FWX1	[00]	FWX1_MRP		57.000	40.000	124.000	130.000	116.000	152.000	113.000	97.000	93.000	109.000	130.000	183.000	174.000	167.000	147.000	113.000	99.000	99.000	87.000	81.000	80.000	66.000	68.000	44.000	45.000	44.000	45.000	43.000	49.000	48.000	52.000	57.000	65.000	63.000	58.000	56.000	44.000	36.000	27.000	33.000	35.000	40.000	27.000	30.000	32.000	29.000	24.000	22.000	28.000	29.000	41.000	28.000	31.000	33.000	38.000	24.000	22.000	26.000	26.000	35.000	24.000	30.000	32.000	41.000	27.000	28.000	33.000	30.000	25.000	22.000	28.000	27.000	37.000	26.000	23.000	20.000	2.000																																																				"
"1180383	FWX1	[00]	FWX1_MRP	40.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	184.000	0.000	0.000	0.000	0.000	0.000	40.000	56.000	48.000	48.000	200.000	176.000	144.000	176.000	24.000	16.000	8.000	0.000	104.000	40.000	48.000	24.000	0.000	0.000	0.000	0.000	0.000	0.000	16.000	8.000	8.000	104.000	40.000	64.000	24.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	16.000	8.000	8.000	96.000	48.000	72.000	16.000	0.000	0.000		0.000	0.000	0.000	0.000																																																													"
"1182051	FWX1	[00]	FWX1_MRP	14630.000	3847.000	3847.000	3847.000	3847.000	3847.000	3836.000	3125.000	3125.000	3125.000	3125.000	2500.000	2500.000	2500.000	2500.000	6905.000	0.000	0.000																																																																																																																"
"1185405	FWX1	[00]	FWX1_MRP		70.000																																																																																																																																"
"1206507	FWX1	[00]	FWX1_MRP	0.000	0.000	0.000	825.000	3922.000	4478.000	7443.000	5424.000	6086.000	4782.000	3302.000	0.000	0.000	0.000	0.000	0.000	868.000	1180.000	1136.000	246.000	148.000	140.000	178.000	148.000	426.000	440.000	404.000	396.000	3084.000	3488.000	3466.000	3416.000	4166.000	3926.000	3890.000	3916.000	3770.000	1156.000	922.000	902.000	890.000	1290.000	1088.000	1062.000	1040.000	370.000	278.000	294.000	336.000	306.000	456.000	530.000	494.000	486.000	496.000	386.000	388.000	438.000	414.000	396.000	366.000	502.000	482.000	528.000	556.000	364.000	356.000	448.000	398.000	386.000	360.000	338.000	20.000																																																									"
"1206508	FWX1	[00]	FWX1_MRP	82.000	0.000	0.000	487.000	1911.000	2239.000	3722.000	2712.000	3043.000	1681.000	1651.000	0.000	0.000	0.000	0.000	0.000	434.000	590.000	568.000	123.000	74.000	70.000	89.000	74.000	213.000	220.000	202.000	198.000	1542.000	1744.000	1733.000	1708.000	2083.000	1963.000	1945.000	1958.000	1885.000	578.000	461.000	451.000	445.000	645.000	544.000	531.000	520.000	185.000	139.000	147.000	168.000	153.000	228.000	265.000	247.000	243.000	248.000	193.000	194.000	219.000	207.000	198.000	183.000	251.000	241.000	264.000	278.000	182.000	178.000	224.000	199.000	193.000	180.000	169.000	10.000																																																									"
"1207945	FWX1	[00]	FWX1_MRP	57.000					758.000	48.000							292.000				116.000	41.000	54.000										23.000	18.000	394.000	118.000	100.000	171.000	79.000	82.000	65.000	40.000	39.000																																																																																										"
"1207947	FWX1	[00]	FWX1_MRP	214.000					43.000	35.000							105.000				111.000	24.000	108.000										313.000	638.000	154.000	201.000	168.000	291.000	149.000	144.000	100.000	86.000	79.000																																																																																										"
"1207949	FWX1	[00]	FWX1_MRP	114.000					313.000	954.000							329.000				264.000	66.000	1484.000										2192.000	17.000	1518.000	2287.000	104.000	215.000	83.000	93.000	58.000	45.000	42.000																115.000					13.000																																																																					"
"1207951	FWX1	[00]	FWX1_MRP						139.000	16.000							363.000				27.000	7.000	19.000										12.000	7.000	289.000	39.000	21.000	57.000	25.000	31.000	16.000	8.000	17.000																					2.000																																																																					"
"1207953	FWX1	[00]	FWX1_MRP	11.000					23.000	23.000							1.000				12.000	10.000	13.000										10.000	5.000	28.000	30.000	18.000	45.000	19.000	22.000	13.000	8.000	13.000																					2.000																																																																					"
"1208324	FWX1	[00]	FWX1_MRP	1926.000	1072.000	762.000	402.000	434.000	612.000	2128.000	1712.000	1862.000	1030.000	1052.000	0.000	0.000	0.000	0.000	0.000	186.000	190.000	188.000	1836.000	2192.000	2046.000	2134.000	1968.000	654.000	328.000	320.000	320.000	126.000	104.000	102.000	100.000	144.000	84.000	86.000	82.000	78.000	2.000	36.000	30.000	32.000	116.000	86.000	82.000	82.000	66.000	456.000	450.000	452.000	442.000	398.000	54.000	46.000	48.000	114.000	60.000	62.000	58.000	54.000	8.000	4.000	6.000	2.000	8.000	118.000	114.000	116.000	170.000	58.000	64.000	56.000	54.000																																																										"
"1208326	FWX1	[00]	FWX1_MRP	873.000	577.000	381.000	201.000	217.000	306.000	1110.000	902.000	976.000	545.000	526.000	0.000	0.000	0.000	0.000	0.000	93.000	95.000	94.000	918.000	1096.000	1023.000	1067.000	984.000	327.000	164.000	160.000	160.000	63.000	52.000	51.000	50.000	72.000	42.000	43.000	41.000	39.000	1.000	18.000	15.000	16.000	58.000	43.000	41.000	41.000	33.000	228.000	225.000	226.000	221.000	199.000	27.000	23.000	24.000	57.000	30.000	31.000	29.000	27.000	4.000	2.000	3.000	1.000	4.000	59.000	57.000	58.000	85.000	29.000	32.000	28.000	27.000																																																										"
"1209856	FWX1	[00]	FWX1_MRP	296.000	200.000		80.000																																																																																																																														"
"1209859	FWX1	[00]	FWX1_MRP	88.000																																																																																																																																	"
"1209862	FWX1	[00]	FWX1_MRP	263.000	330.000		120.000																																																																																																																														"
"1209866	FWX1	[00]	FWX1_MRP	153.000																																																																																																																																	"
"1209870	FWX1	[00]	FWX1_MRP	77.000																																																																																																																																	"
"1211641	FWX1	[00]	FWX1_MRP	4.000	25.000																																																																																																																																"
"1211643	FWX1	[00]	FWX1_MRP	64.000																																																																																																																																	"
"1212145	FWX1	[00]	FWX1_MRP	18.000																																																																																																																																	"
"1212146	FWX1	[00]	FWX1_MRP	91.000																																																																																																																																	"
"1216121	FWX1	[00]	FWX1_MRP								600.000	120.000	564.000								1103.000				1103.000				7924.000				12388.000				10564.000				10556.000					16457.000				5207.000				3304.000					6210.000				3803.000																																																																						"
"1216127	FWX1	[00]	FWX1_MRP								938.000	1080.000	4658.000	400.000							2574.000				2574.000				5196.000				12918.000				8331.000				8252.000					8706.000				7891.000				2910.000					3127.000				2955.000																																																																						"
"1216130	FWX1	[00]	FWX1_MRP								47.000	520.000									0.000				0.000				2121.000				3068.000				3068.000				3068.000					5170.000				1156.000				756.000					1795.000				937.000																																																																						"
