model_name,build_type,skuno,station,serial_number,repair_detail_created_at,repair_code,result,symptom_labels
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02344,,,0,error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02344,2023-10-27 15:52:05,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02344,2023-10-27 15:53:47,SWAP - DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02344,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02365,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02365,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02385,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02385,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02547,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-rainbow
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02547,,,1,diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|mobo boot failed
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02548,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02548,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2342-02548,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00225,,,0,create telnet and ssh connection to dut failed|diorite pci string checking|error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00225,2023-11-01 11:40:43,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin|test-completion-missing-error-dna|timeout exceeded.
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00225,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00330,2023-10-27 13:12:35,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|error-monitor-unknown-error|no-output-detected|procedural-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-dna|test-completion-missing-error-maxcorestim|timeout exceeded.
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00330,2023-10-27 15:31:36,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|no-output-detected|task-failed-with-non-zero-code-return-code|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00330,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00338,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-rainbow
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00338,2023-10-31 15:11:05,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2343-00338,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10443,,,0,create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-rainbow|test-completion-missing-error-sensor_monitor
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10443,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10562,2023-11-09 15:11:41,REPLACE-GULP,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-dna|test-completion-missing-error-maxcorestim|timeout exceeded.
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10562,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10599,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10599,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10599,2023-11-13 11:53:07,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10599,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10633,,,0,process-plan-aborted|rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2344-10633,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2345-00110,,,0,no-output-detected|rsync-error|test-completion-missing-error-sensor_monitor
ASTORIA,GA,1154427,AST SDC Test,FWI2345-00110,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2345-00110,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2345-00114,,,0,hardware config check failed|no-output-detected|rsync-error|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2345-00114,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2345-00122,,,0,grep nic|grep pe|no-output-detected|rsync-error|send command fail: /usr/local/bin/gsys -k hardware parts|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2345-00122,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04397,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04397,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-rainbow
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04397,2023-11-27 14:22:52,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04397,2023-11-27 14:25:06,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04397,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04490,,,0,error-monitor-unknown-error|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04490,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04708,,,0,error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04708,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04808,,,0,error-monitor-unknown-error|no-output-detected|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04808,2023-11-27 14:48:27,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2346-04808,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2348-00045,,,0,rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2348-00045,2023-12-05 13:43:42,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2348-00045,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2348-00287,,,0,no-output-detected|rsync-error|test-completion-missing-error-sensor_monitor
ASTORIA,GA,1154427,AST SDC Test,FWI2348-00287,2023-11-29 10:56:32,RETEST,0,no-output-detected|rsync-error|test-completion-missing-error-sensor_monitor
ASTORIA,GA,1154427,AST SDC Test,FWI2348-00287,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2349-00648,,,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2349-00648,2023-12-13 12:14:35,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2349-00648,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2349-00713,,,0,create telnet and ssh connection to dut failed|diorite pci string checking|diorite ssh connection failed|error-monitor-procedural-error|no-output-detected|read-mce-tolerance-failed|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-amd_cpu_power_virus|timeout exceeded.
ASTORIA,GA,1154427,AST SDC Test,FWI2349-00713,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2349-00760,,,0,rsync-error|test-completion-missing-error-rainbow
ASTORIA,GA,1154427,AST SDC Test,FWI2349-00760,2023-12-13 12:13:39,REPLACE- DIMM,0,
ASTORIA,GA,1154427,AST SDC Test,FWI2349-00760,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2350-12601,2023-12-29 16:10:18,RESEAT - DIMM,0,acceptable-correctable-dimm-errors|excessive-uncorrectable-dimm-errors
ASTORIA,GA,1154427,AST SDC Test,FWI2350-12601,,,0,excessive-uncorrectable-core-cpu-errors|no-output-detected|rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2350-12601,2024-01-19 11:54:57,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|no-output-detected|rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2350-12601,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2351-03935,,,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2351-03935,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11160,2024-01-22 19:09:55,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|error-monitor-procedural-error|lower critical limit violated|no-output-detected|rsync-error|sensor-limits-satisfied|task-failed-with-non-zero-code-return-code|test-completion-missing-error-amd_cpu_power_virus|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11160,2024-01-31 09:34:50,REPLACE- MOBO,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|lower critical limit violated|rsync-error|sensor-limits-satisfied|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11160,2024-01-31 09:35:50,REPLACE- CPU,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|lower critical limit violated|rsync-error|sensor-limits-satisfied|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11160,2024-01-31 09:36:32,REPLACE- CPU,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|lower critical limit violated|rsync-error|sensor-limits-satisfied|test-completion-missing-error-amd_cpu_power_virus
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11160,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11295,,,0,excessive-uncorrectable-core-cpu-errors|no-output-detected|rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11295,2024-01-23 16:04:29,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|no-output-detected|rsync-error|test-completion-missing-error-cpu_checker_burnin|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11295,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11592,,,0,hardware config check failed|no-output-detected|rsync-error|test-completion-missing-error-dna
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11592,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11618,,,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-cpu_checker_burnin
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11618,2024-01-23 13:17:16,REPLACE- DIMM,0,procedural-error|pwm_tach test step0 fail !
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11618,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11635,2023-12-28 10:49:03,RETEST,0,check dut connections failed|create telnet and ssh connection to dut failed|diorite pci string checking|diorite sanity check failed|diorite ssh connection failed|error-monitor-procedural-error|no-output-detected|read-mce-tolerance-failed|rsync-error|task-failed-with-non-zero-code-return-code|test-completion-missing-error-dna|test-completion-missing-error-rainbow|timeout exceeded.
ASTORIA,GA,1154427,AST SDC Test,FWI2351-11635,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2351-12205,,,0,rsync-error|test-completion-missing-error-maxcorestim
ASTORIA,GA,1154427,AST SDC Test,FWI2351-12205,,,1,
ASTORIA,GA,1154427,AST SDC Test,FWI2351-12219,2024-01-23 16:10:56,REPLACE- DIMM,0,excessive-uncorrectable-core-cpu-errors|rsync-error|test-completion-missing-error-amd_cpu_power_virus
