model_name,build_type,skuno,station,total_tests,failed_tests,failure_percentage,x_labels
ATHENA,GA,1178139,ATH Functional Test,1724,321.0,18.62,ATHENA_GA_1178139
ATHENA,GA,1178139,ATH Google Firmware Update Test,1105,20.0,1.81,ATHENA_GA_1178139
ATHENA,GA,1178139,ATH Run-in Test,1683,566.0,33.63,ATHENA_GA_1178139
ATHENA,GA,1178139,ATH SDC Test,1188,98.0,8.25,ATHENA_GA_1178139
ATHENA,GA,1178143,ATH Firmware Update,428,147.0,34.35,ATHENA_GA_1178143
ATHENA,GA,1178143,ATH Functional Test,402,72.0,17.91,ATHENA_GA_1178143
ATHENA,GA,1178143,ATH Google Firmware Update Test,222,5.0,2.25,ATHENA_GA_1178143
ATHENA,GA,1178143,ATH Run-in Test,409,191.0,46.7,ATHENA_GA_1178143
ATHENA,GA,1178143,ATH SDC Test,228,11.0,4.82,ATHENA_GA_1178143
ATHENA,GA,1204620,ATH Firmware Update,63,44.0,69.84,ATHENA_GA_1204620
ATHENA,GA,1204620,ATH Functional Test,19,1.0,5.26,ATHENA_GA_1204620
ATHENA,GA,1204620,ATH Google Firmware Update Test,18,1.0,5.56,ATHENA_GA_1204620
ATHENA,GA,1204620,ATH Run-in Test,18,0.0,0.0,ATHENA_GA_1204620
ATHENA,GA,1204620,ATH SDC Test,19,1.0,5.26,ATHENA_GA_1204620
ATHENA,GA,1204623,ATH Firmware Update,56,37.0,66.07,ATHENA_GA_1204623
ATHENA,GA,1204623,ATH Functional Test,20,1.0,5.0,ATHENA_GA_1204623
ATHENA,GA,1204623,ATH Google Firmware Update Test,15,0.0,0.0,ATHENA_GA_1204623
ATHENA,GA,1204623,ATH Run-in Test,19,4.0,21.05,ATHENA_GA_1204623
ATHENA,GA,1204623,ATH SDC Test,15,0.0,0.0,ATHENA_GA_1204623
ATHENA,GA,1205593,ATH Firmware Update,8,3.0,37.5,ATHENA_GA_1205593
ATHENA,GA,1205593,ATH Functional Test,5,0.0,0.0,ATHENA_GA_1205593
ATHENA,GA,1205593,ATH Google Firmware Update Test,4,0.0,0.0,ATHENA_GA_1205593
ATHENA,GA,1205593,ATH Run-in Test,5,0.0,0.0,ATHENA_GA_1205593
ATHENA,GA,1205593,ATH SDC Test,6,2.0,33.33,ATHENA_GA_1205593
ATHENA,PVT,1176298,ATH Firmware Update,808,303.0,37.5,ATHENA_PVT_1176298
ATHENA,PVT,1176298,ATH Functional Test,719,256.0,35.61,ATHENA_PVT_1176298
ATHENA,PVT,1176298,ATH Google Firmware Update Test,400,8.0,2.0,ATHENA_PVT_1176298
ATHENA,PVT,1176298,ATH Run-in Test,559,163.0,29.16,ATHENA_PVT_1176298
ATHENA,PVT,1176298,ATH SDC Test,406,14.0,3.45,ATHENA_PVT_1176298
ATHENA,PVT,1176304,ATH Firmware Update,1272,562.0,44.18,ATHENA_PVT_1176304
ATHENA,PVT,1176304,ATH Functional Test,994,305.0,30.68,ATHENA_PVT_1176304
ATHENA,PVT,1176304,ATH Google Firmware Update Test,591,6.0,1.02,ATHENA_PVT_1176304
ATHENA,PVT,1176304,ATH Run-in Test,849,262.0,30.86,ATHENA_PVT_1176304
ATHENA,PVT,1176304,ATH SDC Test,603,21.0,3.48,ATHENA_PVT_1176304
ATHENA,PVT,1176304,Pack,1,1.0,100.0,ATHENA_PVT_1176304
ATHENA,PVT,1178139,ATH Firmware Update,2018,622.0,30.82,ATHENA_PVT_1178139
ATHENA,PVT,1178139,ATH Functional Test,1783,503.0,28.21,ATHENA_PVT_1178139
ATHENA,PVT,1178139,ATH Google Firmware Update Test,992,14.0,1.41,ATHENA_PVT_1178139
ATHENA,PVT,1178139,ATH Run-in Test,1723,803.0,46.6,ATHENA_PVT_1178139
ATHENA,PVT,1178139,ATH SDC Test,1024,45.0,4.39,ATHENA_PVT_1178139
ATHENA,PVT,1178139,Pack,2,0.0,0.0,ATHENA_PVT_1178139
ATHENA,PVT,1178139,Repair,1,1.0,100.0,ATHENA_PVT_1178139
ATHENA,PVT,1178143,ATH Firmware Update,454,169.0,37.22,ATHENA_PVT_1178143
ATHENA,PVT,1178143,ATH Functional Test,441,160.0,36.28,ATHENA_PVT_1178143
ATHENA,PVT,1178143,ATH Google Firmware Update Test,246,10.0,4.07,ATHENA_PVT_1178143
ATHENA,PVT,1178143,ATH Run-in Test,356,117.0,32.87,ATHENA_PVT_1178143
ATHENA,PVT,1178143,ATH SDC Test,246,11.0,4.47,ATHENA_PVT_1178143
ATHENA,PVT,1178143,Repair,37,32.0,86.49,ATHENA_PVT_1178143
ATHENA,PVT,1178147,ATH Firmware Update,977,361.0,36.95,ATHENA_PVT_1178147
ATHENA,PVT,1178147,ATH Functional Test,1092,595.0,54.49,ATHENA_PVT_1178147
ATHENA,PVT,1178147,ATH Google Firmware Update Test,457,3.0,0.66,ATHENA_PVT_1178147
ATHENA,PVT,1178147,ATH Run-in Test,734,272.0,37.06,ATHENA_PVT_1178147
ATHENA,PVT,1178147,ATH SDC Test,495,42.0,8.48,ATHENA_PVT_1178147
ATHENA,PVT,1178147,Repair,34,33.0,97.06,ATHENA_PVT_1178147
FLATBACK,PROD,1091829,Test Result,64,33.0,51.56,FLATBACK_PROD_1091829
FLATBACK,PROD,1113705,Test Result,97,51.0,52.58,FLATBACK_PROD_1113705
FLATBACK,PROD,1121845,Test Result,35,18.0,51.43,FLATBACK_PROD_1121845
FLATBACK,PROD,1125499,Test Result,44,24.0,54.55,FLATBACK_PROD_1125499
FLATBACK,PROD,1138092,Test Result,1622,848.0,52.28,FLATBACK_PROD_1138092
FLATBACK,PROD,1141740,Test Result,21137,10985.0,51.97,FLATBACK_PROD_1141740
FLATBACK,PROD,1142914,Test Result,207,112.0,54.11,FLATBACK_PROD_1142914
FLATBACK,PROD,1168665,Test Result,14,4.0,28.57,FLATBACK_PROD_1168665
FLATBACK,PROD,1168676,Test Result,15,5.0,33.33,FLATBACK_PROD_1168676
FLATBACK,PROD,1168684,Test Result,39,18.0,46.15,FLATBACK_PROD_1168684
FLATBACK,PROD,1206507,Test Result,264,135.0,51.14,FLATBACK_PROD_1206507
GULP,DVT,1170620-01,GULP test,162,94.0,58.02,GULP_DVT_1170620-01
GULP,DVT,1180109-01,GULP test,127,67.0,52.76,GULP_DVT_1180109-01
GULP,DVT,1184354-01,GULP test,62,33.0,53.23,GULP_DVT_1184354-01
GULP,GA,1123888-03,GULP test,999,506.0,50.65,GULP_GA_1123888-03
GULP,GA,1131563-02,GULP test,1711,867.0,50.67,GULP_GA_1131563-02
GULP,GA,1131563-04,GULP test,135,69.0,51.11,GULP_GA_1131563-04
